-10.261,0.226,0.000
-10.261,0.186,-0.108
-10.222,0.186,-0.029
-10.222,0.147,-0.029
-10.261,0.147,-0.029
-10.340,0.147,0.029
-10.261,0.108,0.000
-10.300,0.147,0.304
-10.300,0.147,-0.108
-10.261,0.147,-0.029
-10.222,0.108,-0.186
-10.193,0.687,0.108
-12.831,0.226,1.678
-10.614,-0.226,1.187
-11.183,-0.265,4.787
-8.692,-0.147,3.404
-7.966,0.147,6.661
-8.309,0.226,9.653
-2.060,1.148,7.887
2.482,3.640,11.684
2.453,2.982,8.388
4.208,1.795,9.270
5.631,1.609,7.740
8.613,2.678,0.912
9.035,0.873,4.905
8.231,1.030,1.226
9.418,2.374,1.226
9.457,1.756,0.451
8.731,2.865,2.335
10.644,2.335,0.265
8.348,1.913,-0.608
9.839,1.256,0.108
9.496,1.609,-0.304
9.310,0.834,1.373
9.231,0.952,0.569
8.427,0.451,1.373
9.653,0.952,1.030
11.066,1.795,0.451
9.192,1.717,0.412
9.879,1.413,0.412
8.427,0.687,-1.334
10.575,1.530,-1.030
9.879,1.570,0.186
9.879,1.030,-0.029
9.732,1.148,-0.491
9.810,0.991,-0.412
9.732,0.804,-0.530
9.692,0.804,-0.491
9.614,0.412,-0.108
9.810,0.530,-0.186
9.575,0.451,-0.226
9.692,0.530,-0.343
9.614,0.530,-0.265
9.535,0.451,-0.108
9.614,0.647,-0.687
9.614,0.491,-0.265
9.535,0.530,-0.265
9.614,0.412,-0.530
9.653,0.491,-0.383
9.614,0.451,-0.647
9.575,0.451,-0.530
9.653,0.569,-0.608
9.614,0.451,-0.530
9.614,0.491,-0.491
9.692,0.491,-0.608
9.614,0.530,-0.491
9.614,0.491,-0.608
9.614,0.491,-0.608
9.614,0.451,-0.687
9.575,0.530,-0.608
9.653,0.569,-0.647
9.614,0.412,-0.608
9.653,0.530,-0.608
9.653,0.530,-0.530
9.575,0.491,-0.569
9.614,0.530,-0.608
9.614,0.491,-0.687
9.614,0.451,-0.569
9.614,0.491,-0.647
9.575,0.451,-0.491
9.614,0.491,-0.687
9.614,0.412,-0.412
9.614,0.491,-0.647
9.614,0.451,-0.569
9.614,0.451,-0.530
9.614,0.491,-0.412
9.575,0.451,-0.608
9.614,0.451,-0.647
9.614,0.451,-0.491
9.614,0.412,-0.530
9.653,0.491,-0.530
9.614,0.451,-0.530
9.614,0.530,-0.647
9.614,0.451,-0.412
9.575,0.383,-0.608
9.535,0.491,-0.491
9.614,0.451,-0.569
9.575,0.412,-0.608
9.614,0.451,-0.491
9.614,0.451,-0.451
9.614,0.451,-0.608
9.614,0.451,-0.412
9.614,0.412,-0.530
9.614,0.491,-0.569
9.614,0.451,-0.491
9.614,0.412,-0.530
9.575,0.491,-0.569
9.575,0.491,-0.530
9.810,0.491,-0.412
9.918,0.569,-0.304
